,title_clean,profit_class,revenues_clean,gross_profit,return,costs_clean,release_date,release_week,length_clean,main_topic,site,number_topic
123,The Original Kings of Comedy,1.0,38182790.0,6091395.0,0.468568846154,13000000.0,2000-08-18,33.0,115,lda_topic_401,https://en.wikipedia.org/wiki/The_Original_Kings_of_Comedy,34
124,Our Song,,254199.0,,,,,,95,lda_topic_497,https://en.wikipedia.org/wiki/Our_Song_(film),50
125,Panic,,779137.0,,,,2000-12-01,48.0,88,lda_topic_497,https://en.wikipedia.org/wiki/Panic_(2000_film),50
126,Passion of Mind,0.0,769272.0,-11615364.0,-0.967947,12000000.0,2000-05-26,21.0,105,lda_topic_68,https://en.wikipedia.org/wiki/Passion_of_Mind,53
127,The Patriot,0.0,215300000.0,-2350000.0,-0.0213636363636,110000000.0,2000-06-30,26.0,164.0,lda_topic_137,https://en.wikipedia.org/wiki/The_Patriot_(2000_film),4
128,Pay It Forward,0.0,55700000.0,-12150000.0,-0.30375,40000000.0,2000-10-20,42.0,118,lda_topic_497,https://en.wikipedia.org/wiki/Pay_It_Forward_(film),50
129,The Perfect Storm,1.0,328700000.0,44350000.0,0.369583333333,120000000.0,2000-06-30,26.0,130,lda_topic_68,https://en.wikipedia.org/wiki/The_Perfect_Storm_(film),53
130,Pitch Black,1.0,53200000.0,3600000.0,0.15652173913,23000000.0,2000-02-18,7.0,109112.0,lda_topic_77,https://en.wikipedia.org/wiki/Pitch_Black_(film),55
132,Pollock,,10558970.0,,,,2000-09-06,36.0,122,lda_topic_497,https://en.wikipedia.org/wiki/Pollock_(film),50
133,Price of Glory,0.0,3548556.0,-16225722.0,-0.901429,18000000.0,2000-03-31,13.0,118,lda_topic_497,https://en.wikipedia.org/wiki/Price_of_Glory,50
134,Prince of Central Park,,7838.0,,,,,,109,lda_topic_497,https://en.wikipedia.org/wiki/Prince_of_Central_Park,50
135,Proof of Life,0.0,62800000.0,-33600000.0,-0.516923076923,65000000.0,2000-12-04,49.0,135,lda_topic_497,https://en.wikipedia.org/wiki/Proof_of_Life,50
