,name,title_clean,revenues_clean,gross_profit,costs_clean
1047,Debra Jo Rupp,Teacher's Pet,6500000.0,-6750000.0,10000000.0
1713,Debra Jo Rupp,Kickin' It Old Skool,4700000.0,-23350000.0,25700000.0
3346,Riz Ahmed,Nightcrawler,50300000.0,16650000.0,8500000.0
3583,Riz Ahmed,Jason Bourne,415500000.0,87750000.0,120000000.0
1641,Paul Rae,Daddy Day Camp,18200000.0,3100000.0,6000000.0
3175,Paul Rae,Texas Chainsaw,47200000.0,8500000.0,15100000.0
1086,Jackie Earle Haley,The Bad News Bears,42349782.0,12174891.0,9000000.0
1311,Jackie Earle Haley,All the King's Men,9500000.0,-50250000.0,55000000.0
1462,Jackie Earle Haley,Little Children,14800000.0,-18600000.0,26000000.0
2264,Jackie Earle Haley,Watchmen,185300000.0,-37350000.0,130000000.0
2422,Jackie Earle Haley,A Nightmare on Elm Street,115600000.0,22800000.0,35000000.0
2782,Jackie Earle Haley,Dark Shadows,245500000.0,-27250000.0,150000000.0
3515,Jackie Earle Haley,London Has Fallen,205800000.0,42900000.0,60000000.0
3615,Jackie Earle Haley,The Birth of a Nation,16800000.0,-100000.0,8500000.0
1286,Carly Pope,Two for the Money,30500000.0,-19750000.0,35000000.0
2356,Rhys Ifans,Greenberg,7400000.0,-21300000.0,25000000.0
2419,Rhys Ifans,Nanny McPhee and the Big Bang,93251121.0,11625560.5,35000000.0
2430,Rhys Ifans,Passion Play,3669.0,-14998165.5,15000000.0
2802,Rhys Ifans,The Five-Year Engagement,53900000.0,-3050000.0,30000000.0
3421,Rhys Ifans,Serena,3900000.0,-23050000.0,25000000.0
3485,Rhys Ifans,Snowden,37300000.0,-21350000.0,40000000.0
1978,Richard Crenna,Rambo III,189000000.0,36500000.0,58000000.0
70,Jerry Daugirda,Gone in 60 Seconds,40000000.0,19850000.0,150000.0
2764,Katherine LaNasa,The Campaign,104900000.0,-42550000.0,95000000.0
1848,Ted Nugent,Beer for My Horses,7587334.0,-20206333.0,24000000.0
2324,Robert Capron,Diary of a Wimpy Kid,75700000.0,22850000.0,15000000.0
2555,Robert Capron,Diary of a Wimpy Kid: Rodrick Rules,72400000.0,15200000.0,21000000.0
2791,Robert Capron,Diary of a Wimpy Kid: Dog Days,77100000.0,16550000.0,22000000.0
424,Cathy MoriartyGentile,Analyze That,55003135.0,-32498432.5,60000000.0
3348,Daren Kagasoff,Ouija,103600000.0,46800000.0,5000000.0
28,Amanda Detmer,Boys and Girls,25850615.0,-22074692.5,35000000.0
319,Amanda Detmer,The Majestic,37300000.0,-53350000.0,72000000.0
372,Amanda Detmer,Saving Silverman,26086706.0,-8956647.0,22000000.0
437,Amanda Detmer,Big Fat Liar,53000000.0,11500000.0,15000000.0
1591,Amanda Detmer,"You, Me and Dupree",130400000.0,11200000.0,54000000.0
2957,Caity Lotz,Battle of the Year,16500000.0,-11750000.0,20000000.0
2454,Ellen Wong,Scott Pilgrim vs. the World,47700000.0,-61150000.0,85000000.0
2052,Ashley Boettcher,Aliens in the Attic,57900000.0,-16050000.0,45000000.0
207,Christopher Walken,The Affair of the Necklace,471210.0,-29764395.0,30000000.0
462,Christopher Walken,The Country Bears,18012097.0,-25993951.5,35000000.0
548,Christopher Walken,Poolhall Junkies,563711.0,-3718144.5,4000000.0
743,Christopher Walken,Kangaroo Jack,88900000.0,-15550000.0,60000000.0
800,Christopher Walken,The Rundown,80900000.0,-44550000.0,85000000.0
914,Christopher Walken,Envy,14581765.0,-32709117.5,40000000.0
968,Christopher Walken,Man on Fire,130300000.0,-4850000.0,70000000.0
1036,Christopher Walken,The Stepford Wives,102001626.0,-38999187.0,90000000.0
1127,Christopher Walken,Domino,22944502.0,-38527749.0,50000000.0
1296,Christopher Walken,Wedding Crashers,285200000.0,102600000.0,40000000.0
1471,Christopher Walken,Man of the Year,41200000.0,600000.0,20000000.0
1679,Christopher Walken,Hairspray,202500000.0,26250000.0,75000000.0
2617,Christopher Walken,Kill the Irishman,1190000.0,-11405000.0,12000000.0
3166,Christopher Walken,Stand Up Guys,5072654.0,-12463673.0,15000000.0
3282,Christopher Walken,Jersey Boys,67700000.0,-24750000.0,58600000.0
3537,Christopher Walken,The Jungle Book,966600000.0,308300000.0,175000000.0
2233,Eileen Davidson,The House on Sorority Row,10600000.0,4875000.0,425000.0
403,Cliff Curtis,Training Day,104500000.0,7250000.0,45000000.0
457,Cliff Curtis,Collateral Damage,78300000.0,-45850000.0,85000000.0
1834,Cliff Curtis,"10,000 BC",269800000.0,29900000.0,105000000.0
2391,Cliff Curtis,The Last Airbender,319700000.0,9850000.0,150000000.0
2544,Cliff Curtis,Colombiana,61000000.0,-4500000.0,35000000.0
2918,Cliff Curtis,A Thousand Words,22000000.0,-29000000.0,40000000.0
3509,Cliff Curtis,Risen,46100000.0,3050000.0,20000000.0
724,Clint Howard,House of the Dead,13800000.0,-5100000.0,12000000.0
1522,Burgess Meredith,Rocky V,119900000.0,17950000.0,42000000.0
2304,Burgess Meredith,Clash of the Titans,41000000.0,5500000.0,15000000.0
