,title_clean,site,revenues_clean,costs_clean,gross_profit,return,profit_class,release_date
409,The Wash,https://en.wikipedia.org/wiki/The_Wash_(2001_film),10229331.0,7000000.0,-1885334.5,-0.2693335,0.0,2001-11-16
410,The Wedding Planner,https://en.wikipedia.org/wiki/The_Wedding_Planner,94728529.0,35000000.0,12364264.5,0.3532647,1.0,2001-01-26
411,Wet Hot American Summer,https://en.wikipedia.org/wiki/Wet_Hot_American_Summer,295206.0,1800000.0,-1652397.0,-0.917998333333,0.0,2001-07-27
412,What's the Worst That Could Happen?,https://en.wikipedia.org/wiki/What%27s_the_Worst_That_Could_Happen%3F,38464131.0,60000000.0,-40767934.5,-0.679465575,0.0,2001-06-01
413,Zoolander,https://en.wikipedia.org/wiki/Zoolander,60800000.0,28000000.0,2400000.0,0.0857142857143,1.0,2001-09-28
415,25th Hour,https://en.wikipedia.org/wiki/25th_Hour,23900000.0,5000000.0,6950000.0,1.39,1.0,2003-01-10
416,40 Days and 40 Nights,https://en.wikipedia.org/wiki/40_Days_and_40_Nights,95100000.0,17000000.0,30550000.0,1.79705882353,1.0,2002-03-01
417,8 Mile,https://en.wikipedia.org/wiki/8_Mile_(film),242900000.0,41000000.0,80450000.0,1.96219512195,1.0,2002-11-08
418,Abandon,https://en.wikipedia.org/wiki/Abandon_(film),12300000.0,25000000.0,-18850000.0,-0.754,0.0,2002-10-18
420,About Schmidt,https://en.wikipedia.org/wiki/About_Schmidt,105800000.0,30000000.0,22900000.0,0.763333333333,1.0,2002-12-13
421,Adaptation.,https://en.wikipedia.org/wiki/Adaptation_(film),32800000.0,19000000.0,-2600000.0,-0.136842105263,0.0,2002-12-06
422,The Adventures of Pluto Nash,https://en.wikipedia.org/wiki/The_Adventures_of_Pluto_Nash,7100000.0,100000000.0,-96450000.0,-0.9645,0.0,2002-08-16
423,All About the Benjamins,https://en.wikipedia.org/wiki/All_About_the_Benjamins,26306533.0,15000000.0,-1846733.5,-0.123115566667,0.0,2002-03-08
424,Analyze That,https://en.wikipedia.org/wiki/Analyze_That,55003135.0,60000000.0,-32498432.5,-0.541640541667,0.0,2002-12-06
425,Analyze This,https://en.wikipedia.org/wiki/Analyze_This,176900000.0,80000000.0,8450000.0,0.105625,1.0,1999-03-05
426,Antwone Fisher,https://en.wikipedia.org/wiki/Antwone_Fisher_(film),23400000.0,12500000.0,-800000.0,-0.064,0.0,2002-12-19
427,Austin Powers in Goldmember,https://en.wikipedia.org/wiki/Austin_Powers_in_Goldmember,296700000.0,63000000.0,85350000.0,1.35476190476,1.0,2002-07-26
428,Auto Focus,https://en.wikipedia.org/wiki/Auto_Focus,2700000.0,7000000.0,-5650000.0,-0.807142857143,0.0,2002-10-18
429,Avenging Angelo,https://en.wikipedia.org/wiki/Avenging_Angelo,824597.0,17000000.0,-16587701.5,-0.975747147059,0.0,2002-08-30
